=== LOG DLA 30 FLOWS ===

===== RUN 0 =====
FLOW 14 WEIGHTED: 13 -> 11 -> 6 -> 4 -> 14 | ACCEPTED
FLOW 15 IP: 10 -> 4 -> 8 -> 1 | ACCEPTED
FLOW 15 CSPF: 10 -> 4 -> 8 -> 1 | ACCEPTED
FLOW 15 WEIGHTED: 10 -> 4 -> 8 -> 1 | ACCEPTED
FLOW 16 IP: 11 -> 13 | ACCEPTED
FLOW 16 CSPF: 11 -> 13 | ACCEPTED
FLOW 16 WEIGHTED: 11 -> 9 -> 13 | ACCEPTED
FLOW 17 IP: 11 -> 6 -> 4 -> 0 -> 5 | ACCEPTED
FLOW 17 CSPF: 11 -> 6 -> 4 -> 0 -> 5 | ACCEPTED
FLOW 17 WEIGHTED: 11 -> 4 -> 0 -> 5 | ACCEPTED
FLOW 18 IP: 6 -> 4 -> 8 | ACCEPTED
FLOW 18 CSPF: 6 -> 4 -> 8 | ACCEPTED
FLOW 18 WEIGHTED: 6 -> 4 -> 8 | ACCEPTED
FLOW 19 IP: 4 -> 6 -> 11 -> 9 | ACCEPTED
FLOW 19 CSPF: 4 -> 6 -> 11 -> 9 | ACCEPTED
FLOW 19 WEIGHTED: 4 -> 6 -> 11 -> 9 | ACCEPTED
FLOW 20 IP: 8 -> 4 -> 6 | ACCEPTED
FLOW 20 CSPF: 8 -> 4 -> 6 | ACCEPTED
FLOW 20 WEIGHTED: 8 -> 4 -> 6 | ACCEPTED
FLOW 21 IP: 0 -> 8 -> 7 | ACCEPTED
FLOW 21 CSPF: 0 -> 8 -> 7 | ACCEPTED
FLOW 21 WEIGHTED: 0 -> 7 | ACCEPTED
FLOW 22 IP: 12 -> 6 | ACCEPTED
FLOW 22 CSPF: 12 -> 6 | ACCEPTED
FLOW 22 WEIGHTED: 12 -> 6 | ACCEPTED
FLOW 23 IP: 2 -> 6 -> 4 -> 0 -> 5 | ACCEPTED
FLOW 23 CSPF: 2 -> 6 -> 4 -> 0 -> 5 | ACCEPTED
FLOW 23 WEIGHTED: 2 -> 4 -> 0 -> 5 | ACCEPTED
FLOW 24 IP: 11 -> 7 -> 8 -> 12 | ACCEPTED
