=== LOG DLA 30 FLOWS ===

===== RUN 0 =====
FLOW 0 IP: 13 -> 6 | ACCEPTED
FLOW 13 IP: 8 -> 4 | ACCEPTED
FLOW 13 CSPF: 8 -> 4 | ACCEPTED
FLOW 13 WEIGHTED: 8 -> 9 -> 4 | ACCEPTED
FLOW 14 IP: 14 -> 12 -> 8 | ACCEPTED
FLOW 14 CSPF: 14 -> 12 -> 8 | ACCEPTED
FLOW 14 WEIGHTED: 14 -> 12 -> 8 | ACCEPTED
FLOW 15 IP: 11 -> 13 | ACCEPTED
FLOW 15 CSPF: 11 -> 13 | ACCEPTED
FLOW 15 WEIGHTED: 11 -> 13 | ACCEPTED
FLOW 16 IP: 13 -> 12 | ACCEPTED
FLOW 16 CSPF: 13 -> 12 | ACCEPTED
FLOW 16 WEIGHTED: 13 -> 12 | ACCEPTED
FLOW 17 IP: 7 -> 3 -> 11 -> 13 | ACCEPTED
FLOW 17 CSPF: 7 -> 3 -> 11 -> 13 | ACCEPTED
FLOW 17 WEIGHTED: 7 -> 3 -> 11 -> 13 | ACCEPTED
FLOW 18 IP: 11 -> 3 -> 7 -> 5 | ACCEPTED
FLOW 18 CSPF: NONE | REJECTED
FLOW 18 WEIGHTED: NONE | REJECTED
FLOW 19 IP: 14 -> 2 -> 9 | ACCEPTED
FLOW 19 CSPF: 14 -> 2 -> 9 | ACCEPTED
FLOW 19 WEIGHTED: 14 -> 2 -> 9 | ACCEPTED
FLOW 20 IP: 12 -> 2 | ACCEPTED
FLOW 20 CSPF: 12 -> 2 | ACCEPTED
FLOW 20 WEIGHTED: 12 -> 2 | ACCEPTED
FLOW 21 IP: 1 -> 7 -> 5 | ACCEPTED
FLOW 21 CSPF: 1 -> 7 -> 5 | ACCEPTED
FLOW 21 WEIGHTED: 1 -> 7 -> 5 | ACCEPTED
FLOW 22 IP: 7 -> 1 | ACCEPTED
FLOW 22 CSPF: 7 -> 1 | ACCEPTED
FLOW 22 WEIGHTED: 7 -> 1 | ACCEPTED
FLOW 23 IP: 4 -> 11 | ACCEPTED
FLOW 23 CSPF: 4 -> 11 | ACCEPTED
FLOW 23 WEIGHTED: 4 -> 11 | ACCEPTED
FLOW 24 IP: 5 -> 7 -> 3 -> 11 -> 13 | ACCEPTED
FLOW 24 CSPF: NONE | REJECTED
FLOW 24 WEIGHTED: NONE | REJECTED
FLOW 25 IP: 12 -> 2 -> 9 | ACCEPTED
FLOW 25 CSPF: 12 -> 2 -> 9 | ACCEPTED
FLOW 25 WEIGHTED: 12 -> 2 -> 9 | ACCEPTED
FLOW 26 IP: 4 -> 10 -> 7 | ACCEPTED
FLOW 26 CSPF: 4 -> 10 -> 7 | ACCEPTED
FLOW 26 WEIGHTED: 4 -> 10 -> 7 | ACCEPTED
FLOW 27 IP: 12 -> 14 -> 6 | ACCEPTED
FLOW 27 CSPF: 12 -> 14 -> 6 | ACCEPTED
FLOW 27 WEIGHTED: 12 -> 14 -> 6 | ACCEPTED
FLOW 28 IP: 3 -> 10 -> 4 | ACCEPTED
FLOW 28 CSPF: 3 -> 10 -> 4 | ACCEPTED
FLOW 28 WEIGHTED: 3 -> 10 -> 4 | ACCEPTED
FLOW 29 IP: 13 -> 11 -> 0 -> 2 | ACCEPTED
FLOW 29 CSPF: 13 -> 11 -> 0 -> 2 | ACCEPTED
FLOW 29 WEIGHTED: 13 -> 11 -> 0 -> 2 | ACCEPTED

===== RUN 1 =====
FLOW 0 IP: 2 -> 9 | ACCEPTED
FLOW 0 CSPF: 2 -> 9 | ACCEPTED
FLOW 0 WEIGHTED: 2 -> 9 | ACCEPTED
FLOW 1 IP: 1 -> 7 | ACCEPTED
FLOW 1 CSPF: 1 -> 7 | ACCEPTED
FLOW 1 WEIGHTED: 1 -> 7 | ACCEPTED
FLOW 2 IP: 10 -> 6 | ACCEPTED
FLOW 2 CSPF: 10 -> 6 | ACCEPTED
FLOW 2 WEIGHTED: 10 -> 6 | ACCEPTED
FLOW 3 IP: 7 -> 2 -> 0 | ACCEPTED
FLOW 3 CSPF: 7 -> 2 -> 0 | ACCEPTED
FLOW 3 WEIGHTED: 7 -> 2 -> 0 | ACCEPTED
FLOW 4 IP: 9 -> 2 -> 12 | ACCEPTED
FLOW 4 CSPF: 9 -> 2 -> 12 | ACCEPTED
FLOW 4 WEIGHTED: 9 -> 2 -> 12 | ACCEPTED
FLOW 5 IP: 7 -> 10 -> 4 | ACCEPTED
FLOW 5 CSPF: 7 -> 10 -> 4 | ACCEPTED
FLOW 5 WEIGHTED: 7 -> 10 -> 4 | ACCEPTED
FLOW 6 IP: 1 -> 14 | ACCEPTED
FLOW 6 CSPF: 1 -> 14 | ACCEPTED
FLOW 6 WEIGHTED: 1 -> 14 | ACCEPTED
FLOW 7 IP: 0 -> 2 -> 3 -> 10 | ACCEPTED
FLOW 7 CSPF: 0 -> 2 -> 3 -> 10 | ACCEPTED
FLOW 7 WEIGHTED: 0 -> 2 -> 3 -> 10 | ACCEPTED
FLOW 8 IP: 14 -> 6 | ACCEPTED
FLOW 8 CSPF: 14 -> 6 | ACCEPTED
FLOW 8 WEIGHTED: 14 -> 6 | ACCEPTED
FLOW 9 IP: 11 -> 0 | ACCEPTED
FLOW 9 CSPF: 11 -> 0 | ACCEPTED
FLOW 9 WEIGHTED: 11 -> 0 | ACCEPTED
FLOW 10 IP: 12 -> 2 -> 7 | ACCEPTED
FLOW 10 CSPF: 12 -> 2 -> 7 | ACCEPTED
FLOW 10 WEIGHTED: 12 -> 14 -> 7 | ACCEPTED
FLOW 11 IP: 3 -> 7 -> 5 | ACCEPTED
FLOW 11 CSPF: 3 -> 7 -> 5 | ACCEPTED
FLOW 11 WEIGHTED: 3 -> 7 -> 5 | ACCEPTED
FLOW 12 IP: 3 -> 2 -> 12 | ACCEPTED
FLOW 12 CSPF: 3 -> 2 -> 12 | ACCEPTED
FLOW 12 WEIGHTED: 3 -> 2 -> 12 | ACCEPTED
FLOW 13 IP: 4 -> 6 -> 14 | ACCEPTED
FLOW 13 CSPF: 4 -> 6 -> 14 | ACCEPTED
FLOW 13 WEIGHTED: 4 -> 6 -> 14 | ACCEPTED
FLOW 14 IP: 13 -> 6 -> 14 | ACCEPTED
FLOW 14 CSPF: 13 -> 6 -> 14 | ACCEPTED
FLOW 14 WEIGHTED: 13 -> 6 -> 14 | ACCEPTED
FLOW 15 IP: 10 -> 6 -> 1 | ACCEPTED
FLOW 15 CSPF: 10 -> 6 -> 1 | ACCEPTED
FLOW 15 WEIGHTED: 10 -> 6 -> 1 | ACCEPTED
FLOW 16 IP: 11 -> 13 | ACCEPTED
FLOW 16 CSPF: 11 -> 13 | ACCEPTED
FLOW 16 WEIGHTED: 11 -> 13 | ACCEPTED
FLOW 17 IP: 11 -> 3 -> 7 -> 5 | ACCEPTED
FLOW 17 CSPF: 11 -> 3 -> 7 -> 5 | ACCEPTED
FLOW 17 WEIGHTED: 11 -> 3 -> 7 -> 5 | ACCEPTED
FLOW 18 IP: 6 -> 14 -> 12 -> 8 | ACCEPTED
FLOW 18 CSPF: 6 -> 14 -> 12 -> 8 | ACCEPTED
FLOW 18 WEIGHTED: 6 -> 14 -> 12 -> 8 | ACCEPTED
FLOW 19 IP: 4 -> 9 | ACCEPTED
FLOW 19 CSPF: 4 -> 9 | ACCEPTED
FLOW 19 WEIGHTED: 4 -> 9 | ACCEPTED
FLOW 20 IP: 8 -> 12 -> 14 -> 6 | ACCEPTED
FLOW 20 CSPF: 8 -> 12 -> 14 -> 6 | ACCEPTED
FLOW 20 WEIGHTED: 8 -> 12 -> 13 -> 6 | ACCEPTED
FLOW 21 IP: 0 -> 2 -> 7 | ACCEPTED
FLOW 21 CSPF: 0 -> 2 -> 7 | ACCEPTED
FLOW 21 WEIGHTED: 0 -> 7 | ACCEPTED
FLOW 22 IP: 12 -> 14 -> 6 | ACCEPTED
FLOW 22 CSPF: 12 -> 14 -> 6 | ACCEPTED
FLOW 22 WEIGHTED: 12 -> 14 -> 6 | ACCEPTED
FLOW 23 IP: 2 -> 7 -> 5 | ACCEPTED
FLOW 23 CSPF: 2 -> 7 -> 5 | ACCEPTED
FLOW 23 WEIGHTED: 2 -> 7 -> 5 | ACCEPTED
FLOW 24 IP: 11 -> 0 -> 2 -> 12 | ACCEPTED
FLOW 24 CSPF: 11 -> 0 -> 2 -> 12 | ACCEPTED
FLOW 24 WEIGHTED: 11 -> 12 | ACCEPTED
FLOW 25 IP: 7 -> 10 | ACCEPTED
FLOW 25 CSPF: 7 -> 10 | ACCEPTED
FLOW 25 WEIGHTED: 7 -> 10 | ACCEPTED
FLOW 26 IP: 12 -> 2 | ACCEPTED
FLOW 26 CSPF: 12 -> 2 | ACCEPTED
FLOW 26 WEIGHTED: 12 -> 2 | ACCEPTED
FLOW 27 IP: 6 -> 14 -> 7 -> 5 | ACCEPTED
FLOW 27 CSPF: 6 -> 14 -> 7 -> 5 | ACCEPTED
FLOW 27 WEIGHTED: 6 -> 10 -> 7 -> 5 | ACCEPTED
FLOW 28 IP: 0 -> 2 -> 7 | ACCEPTED
FLOW 28 CSPF: 0 -> 2 -> 7 | ACCEPTED
FLOW 28 WEIGHTED: 0 -> 7 | ACCEPTED
FLOW 29 IP: 11 -> 13 | ACCEPTED
FLOW 29 CSPF: 11 -> 13 | ACCEPTED
FLOW 29 WEIGHTED: 11 -> 13 | ACCEPTED

===== RUN 2 =====
FLOW 0 IP: 13 -> 11 -> 0 | ACCEPTED
FLOW 0 CSPF: 13 -> 11 -> 0 | ACCEPTED
FLOW 0 WEIGHTED: 13 -> 11 -> 0 | ACCEPTED
FLOW 1 IP: 5 -> 7 -> 3 -> 11 -> 13 | ACCEPTED
FLOW 1 CSPF: 5 -> 7 -> 3 -> 11 -> 13 | ACCEPTED
FLOW 1 WEIGHTED: 5 -> 7 -> 3 -> 11 -> 13 | ACCEPTED
FLOW 2 IP: 12 -> 2 -> 3 -> 10 | ACCEPTED
FLOW 2 CSPF: 12 -> 2 -> 3 -> 10 | ACCEPTED
FLOW 2 WEIGHTED: 12 -> 2 -> 3 -> 10 | ACCEPTED
FLOW 3 IP: 9 -> 4 -> 10 -> 3 | ACCEPTED
FLOW 3 CSPF: 9 -> 4 -> 10 -> 3 | ACCEPTED
FLOW 3 WEIGHTED: 9 -> 4 -> 10 -> 3 | ACCEPTED
FLOW 4 IP: 9 -> 4 -> 10 | ACCEPTED
FLOW 4 CSPF: 9 -> 4 -> 10 | ACCEPTED
FLOW 4 WEIGHTED: 9 -> 10 | ACCEPTED
FLOW 5 IP: 10 -> 6 | ACCEPTED
FLOW 5 CSPF: 10 -> 6 | ACCEPTED
FLOW 5 WEIGHTED: 10 -> 6 | ACCEPTED
FLOW 6 IP: 5 -> 7 -> 2 -> 12 -> 8 | ACCEPTED
FLOW 6 CSPF: 5 -> 7 -> 2 -> 12 -> 8 | ACCEPTED
FLOW 6 WEIGHTED: 5 -> 7 -> 2 -> 12 -> 8 | ACCEPTED
FLOW 7 IP: 4 -> 6 -> 14 | ACCEPTED
FLOW 7 CSPF: 4 -> 6 -> 14 | ACCEPTED
FLOW 7 WEIGHTED: 4 -> 6 -> 14 | ACCEPTED
FLOW 8 IP: 0 -> 2 -> 7 -> 5 | ACCEPTED
FLOW 8 CSPF: 0 -> 2 -> 7 -> 5 | ACCEPTED
FLOW 8 WEIGHTED: 0 -> 7 -> 5 | ACCEPTED
FLOW 9 IP: 5 -> 7 -> 14 | ACCEPTED
FLOW 9 CSPF: 5 -> 7 -> 14 | ACCEPTED
FLOW 9 WEIGHTED: 5 -> 7 -> 14 | ACCEPTED
FLOW 10 IP: 14 -> 12 -> 8 | ACCEPTED
FLOW 10 CSPF: 14 -> 12 -> 8 | ACCEPTED
FLOW 10 WEIGHTED: 14 -> 12 -> 8 | ACCEPTED
FLOW 11 IP: 2 -> 3 | ACCEPTED
FLOW 11 CSPF: 2 -> 3 | ACCEPTED
FLOW 11 WEIGHTED: 2 -> 3 | ACCEPTED
FLOW 12 IP: 2 -> 7 -> 5 | ACCEPTED
FLOW 12 CSPF: NONE | REJECTED
FLOW 12 WEIGHTED: NONE | REJECTED
FLOW 13 IP: 8 -> 12 -> 2 -> 7 -> 5 | ACCEPTED
FLOW 13 CSPF: 8 -> 12 -> 2 -> 7 -> 5 | ACCEPTED
FLOW 13 WEIGHTED: 8 -> 9 -> 7 -> 5 | ACCEPTED
FLOW 14 IP: 8 -> 12 -> 2 | ACCEPTED
FLOW 14 CSPF: 8 -> 12 -> 2 | ACCEPTED
FLOW 14 WEIGHTED: 8 -> 12 -> 2 | ACCEPTED
FLOW 15 IP: 6 -> 13 -> 11 | ACCEPTED
FLOW 15 CSPF: 6 -> 13 -> 11 | ACCEPTED
FLOW 15 WEIGHTED: 6 -> 13 -> 11 | ACCEPTED
FLOW 16 IP: 14 -> 12 | ACCEPTED
FLOW 16 CSPF: 14 -> 12 | ACCEPTED
FLOW 16 WEIGHTED: 14 -> 12 | ACCEPTED
FLOW 17 IP: 9 -> 7 -> 5 | ACCEPTED
FLOW 17 CSPF: 9 -> 7 -> 5 | ACCEPTED
FLOW 17 WEIGHTED: 9 -> 10 -> 7 -> 5 | ACCEPTED
FLOW 18 IP: 7 -> 2 | ACCEPTED
FLOW 18 CSPF: 7 -> 2 | ACCEPTED
FLOW 18 WEIGHTED: 7 -> 2 | ACCEPTED
FLOW 19 IP: 11 -> 3 -> 7 | ACCEPTED
FLOW 19 CSPF: 11 -> 3 -> 7 | ACCEPTED
FLOW 19 WEIGHTED: 11 -> 3 -> 7 | ACCEPTED
FLOW 20 IP: 7 -> 10 -> 4 | ACCEPTED
FLOW 20 CSPF: 7 -> 10 -> 4 | ACCEPTED
FLOW 20 WEIGHTED: 7 -> 10 -> 4 | ACCEPTED
FLOW 21 IP: 8 -> 12 -> 13 | ACCEPTED
FLOW 21 CSPF: 8 -> 12 -> 13 | ACCEPTED
FLOW 21 WEIGHTED: 8 -> 11 -> 13 | ACCEPTED
FLOW 22 IP: 14 -> 7 | ACCEPTED
FLOW 22 CSPF: 14 -> 7 | ACCEPTED
FLOW 22 WEIGHTED: 14 -> 7 | ACCEPTED
FLOW 23 IP: 9 -> 4 -> 11 | ACCEPTED
FLOW 23 CSPF: 9 -> 4 -> 11 | ACCEPTED
FLOW 23 WEIGHTED: 9 -> 11 | ACCEPTED
FLOW 24 IP: 7 -> 10 | ACCEPTED
FLOW 24 CSPF: 7 -> 10 | ACCEPTED
FLOW 24 WEIGHTED: 7 -> 10 | ACCEPTED
FLOW 25 IP: 5 -> 7 -> 3 -> 11 -> 13 | ACCEPTED
FLOW 25 CSPF: 5 -> 7 -> 3 -> 11 -> 13 | ACCEPTED
FLOW 25 WEIGHTED: 5 -> 7 -> 3 -> 13 | ACCEPTED
FLOW 26 IP: 14 -> 2 -> 9 | ACCEPTED
FLOW 26 CSPF: 14 -> 2 -> 9 | ACCEPTED
FLOW 26 WEIGHTED: 14 -> 2 -> 9 | ACCEPTED
FLOW 27 IP: 14 -> 7 | ACCEPTED
FLOW 27 CSPF: 14 -> 7 | ACCEPTED
FLOW 27 WEIGHTED: 14 -> 7 | ACCEPTED
FLOW 28 IP: 12 -> 2 -> 0 -> 11 | ACCEPTED
FLOW 28 CSPF: 12 -> 2 -> 0 -> 11 | ACCEPTED
FLOW 28 WEIGHTED: 12 -> 11 | ACCEPTED
FLOW 29 IP: 8 -> 4 -> 10 | ACCEPTED
FLOW 29 CSPF: 8 -> 4 -> 10 | ACCEPTED
FLOW 29 WEIGHTED: 8 -> 4 -> 10 | ACCEPTED

===== RUN 3 =====
FLOW 0 IP: 3 -> 10 -> 4 -> 9 | ACCEPTED
FLOW 0 CSPF: 3 -> 10 -> 4 -> 9 | ACCEPTED
FLOW 0 WEIGHTED: 3 -> 10 -> 4 -> 9 | ACCEPTED
FLOW 1 IP: 5 -> 7 -> 14 | ACCEPTED
FLOW 1 CSPF: 5 -> 7 -> 14 | ACCEPTED
FLOW 1 WEIGHTED: 5 -> 7 -> 14 | ACCEPTED
FLOW 2 IP: 10 -> 4 -> 9 | ACCEPTED
FLOW 2 CSPF: 10 -> 4 -> 9 | ACCEPTED
FLOW 2 WEIGHTED: 10 -> 9 | ACCEPTED
FLOW 3 IP: 0 -> 2 -> 14 | ACCEPTED
FLOW 3 CSPF: 0 -> 2 -> 14 | ACCEPTED
FLOW 3 WEIGHTED: 0 -> 2 -> 14 | ACCEPTED
FLOW 4 IP: 8 -> 12 -> 2 -> 3 | ACCEPTED
FLOW 4 CSPF: 8 -> 12 -> 2 -> 3 | ACCEPTED
FLOW 4 WEIGHTED: 8 -> 12 -> 2 -> 3 | ACCEPTED
FLOW 5 IP: 7 -> 2 -> 12 -> 8 | ACCEPTED
FLOW 5 CSPF: 7 -> 2 -> 12 -> 8 | ACCEPTED
FLOW 5 WEIGHTED: 7 -> 2 -> 12 -> 8 | ACCEPTED
FLOW 6 IP: 6 -> 10 | ACCEPTED
FLOW 6 CSPF: 6 -> 10 | ACCEPTED
FLOW 6 WEIGHTED: 6 -> 10 | ACCEPTED
FLOW 7 IP: 10 -> 3 -> 2 | ACCEPTED
FLOW 7 CSPF: 10 -> 3 -> 2 | ACCEPTED
FLOW 7 WEIGHTED: 10 -> 3 -> 2 | ACCEPTED
FLOW 8 IP: 11 -> 0 | ACCEPTED
FLOW 8 CSPF: 11 -> 0 | ACCEPTED
FLOW 8 WEIGHTED: 11 -> 0 | ACCEPTED
FLOW 9 IP: 12 -> 2 -> 9 | ACCEPTED
FLOW 9 CSPF: 12 -> 2 -> 9 | ACCEPTED
FLOW 9 WEIGHTED: 12 -> 2 -> 9 | ACCEPTED
FLOW 10 IP: 12 -> 2 -> 0 | ACCEPTED
FLOW 10 CSPF: 12 -> 2 -> 0 | ACCEPTED
FLOW 10 WEIGHTED: 12 -> 2 -> 0 | ACCEPTED
FLOW 11 IP: 9 -> 4 -> 11 | ACCEPTED
FLOW 11 CSPF: 9 -> 4 -> 11 | ACCEPTED
FLOW 11 WEIGHTED: 9 -> 11 | ACCEPTED
FLOW 12 IP: 12 -> 14 | ACCEPTED
FLOW 12 CSPF: 12 -> 14 | ACCEPTED
FLOW 12 WEIGHTED: 12 -> 14 | ACCEPTED
FLOW 13 IP: 11 -> 0 -> 2 -> 12 | ACCEPTED
FLOW 13 CSPF: 11 -> 0 -> 2 -> 12 | ACCEPTED
FLOW 13 WEIGHTED: 11 -> 12 | ACCEPTED
FLOW 14 IP: 14 -> 2 | ACCEPTED
FLOW 14 CSPF: 14 -> 2 | ACCEPTED
FLOW 14 WEIGHTED: 14 -> 2 | ACCEPTED
FLOW 15 IP: 0 -> 2 | ACCEPTED
FLOW 15 CSPF: 0 -> 2 | ACCEPTED
FLOW 15 WEIGHTED: 0 -> 2 | ACCEPTED
FLOW 16 IP: 4 -> 10 | ACCEPTED
FLOW 16 CSPF: 4 -> 10 | ACCEPTED
FLOW 16 WEIGHTED: 4 -> 10 | ACCEPTED
FLOW 17 IP: 10 -> 6 -> 13 | ACCEPTED
FLOW 17 CSPF: 10 -> 6 -> 13 | ACCEPTED
FLOW 17 WEIGHTED: 10 -> 6 -> 13 | ACCEPTED
FLOW 18 IP: 8 -> 12 -> 13 | ACCEPTED
FLOW 18 CSPF: 8 -> 12 -> 13 | ACCEPTED
FLOW 18 WEIGHTED: 8 -> 11 -> 13 | ACCEPTED
FLOW 19 IP: 5 -> 7 -> 2 -> 12 -> 8 | ACCEPTED
FLOW 19 CSPF: 5 -> 7 -> 2 -> 12 -> 8 | ACCEPTED
FLOW 19 WEIGHTED: NONE | REJECTED
FLOW 20 IP: 9 -> 4 -> 10 -> 3 | ACCEPTED
FLOW 20 CSPF: 9 -> 4 -> 10 -> 3 | ACCEPTED
FLOW 20 WEIGHTED: 9 -> 2 -> 3 | ACCEPTED
FLOW 21 IP: 14 -> 2 -> 0 | ACCEPTED
FLOW 21 CSPF: 14 -> 2 -> 0 | ACCEPTED
FLOW 21 WEIGHTED: 14 -> 2 -> 0 | ACCEPTED
FLOW 22 IP: 10 -> 3 -> 11 | ACCEPTED
FLOW 22 CSPF: 10 -> 3 -> 11 | ACCEPTED
FLOW 22 WEIGHTED: 10 -> 11 | ACCEPTED
FLOW 23 IP: 13 -> 11 -> 3 -> 7 -> 5 | ACCEPTED
FLOW 23 CSPF: 13 -> 11 -> 3 -> 7 -> 5 | ACCEPTED
FLOW 23 WEIGHTED: 13 -> 11 -> 3 -> 7 -> 5 | ACCEPTED
FLOW 24 IP: 9 -> 4 -> 6 -> 1 | ACCEPTED
FLOW 24 CSPF: 9 -> 4 -> 6 -> 1 | ACCEPTED
FLOW 24 WEIGHTED: 9 -> 4 -> 6 -> 1 | ACCEPTED
FLOW 25 IP: 13 -> 11 -> 4 -> 9 | ACCEPTED
FLOW 25 CSPF: 13 -> 11 -> 4 -> 9 | ACCEPTED
FLOW 25 WEIGHTED: 13 -> 4 -> 9 | ACCEPTED
FLOW 26 IP: 1 -> 7 | ACCEPTED
FLOW 26 CSPF: 1 -> 7 | ACCEPTED
FLOW 26 WEIGHTED: 1 -> 7 | ACCEPTED
FLOW 27 IP: 5 -> 7 -> 2 -> 12 | ACCEPTED
FLOW 27 CSPF: 5 -> 7 -> 2 -> 12 | ACCEPTED
FLOW 27 WEIGHTED: 5 -> 7 -> 14 -> 12 | ACCEPTED
FLOW 28 IP: 14 -> 2 | ACCEPTED
FLOW 28 CSPF: 14 -> 2 | ACCEPTED
FLOW 28 WEIGHTED: 14 -> 12 -> 2 | ACCEPTED
FLOW 29 IP: 6 -> 14 -> 12 | ACCEPTED
FLOW 29 CSPF: 6 -> 14 -> 12 | ACCEPTED
FLOW 29 WEIGHTED: 6 -> 14 -> 12 | ACCEPTED

===== RUN 4 =====
FLOW 0 IP: 3 -> 10 -> 4 | ACCEPTED
FLOW 0 CSPF: 3 -> 10 -> 4 | ACCEPTED
FLOW 0 WEIGHTED: 3 -> 10 -> 4 | ACCEPTED
FLOW 1 IP: 6 -> 14 -> 7 | ACCEPTED
FLOW 1 CSPF: 6 -> 14 -> 7 | ACCEPTED
FLOW 1 WEIGHTED: 6 -> 14 -> 7 | ACCEPTED
FLOW 2 IP: 1 -> 14 -> 2 -> 0 | ACCEPTED
FLOW 2 CSPF: 1 -> 14 -> 2 -> 0 | ACCEPTED
FLOW 2 WEIGHTED: 1 -> 14 -> 2 -> 0 | ACCEPTED
FLOW 3 IP: 14 -> 6 -> 4 | ACCEPTED
FLOW 3 CSPF: 14 -> 6 -> 4 | ACCEPTED
FLOW 3 WEIGHTED: 14 -> 6 -> 4 | ACCEPTED
FLOW 4 IP: 8 -> 12 -> 2 -> 7 -> 5 | ACCEPTED
FLOW 4 CSPF: 8 -> 12 -> 2 -> 7 -> 5 | ACCEPTED
FLOW 4 WEIGHTED: 8 -> 12 -> 2 -> 7 -> 5 | ACCEPTED
FLOW 5 IP: 2 -> 0 -> 11 -> 13 | ACCEPTED
FLOW 5 CSPF: 2 -> 0 -> 11 -> 13 | ACCEPTED
FLOW 5 WEIGHTED: 2 -> 12 -> 13 | ACCEPTED
FLOW 6 IP: 3 -> 2 -> 14 | ACCEPTED
FLOW 6 CSPF: 3 -> 2 -> 14 | ACCEPTED
FLOW 6 WEIGHTED: 3 -> 2 -> 12 -> 14 | ACCEPTED
FLOW 7 IP: 10 -> 3 -> 2 -> 12 | ACCEPTED
FLOW 7 CSPF: 10 -> 3 -> 2 -> 12 | ACCEPTED
FLOW 7 WEIGHTED: 10 -> 3 -> 2 -> 12 | ACCEPTED
FLOW 8 IP: 4 -> 10 -> 3 | ACCEPTED
FLOW 8 CSPF: 4 -> 10 -> 3 | ACCEPTED
FLOW 8 WEIGHTED: 4 -> 10 -> 3 | ACCEPTED
FLOW 9 IP: 4 -> 10 | ACCEPTED
FLOW 9 CSPF: 4 -> 10 | ACCEPTED
FLOW 9 WEIGHTED: 4 -> 10 | ACCEPTED
FLOW 10 IP: 13 -> 11 -> 4 -> 9 | ACCEPTED
FLOW 10 CSPF: 13 -> 11 -> 4 -> 9 | ACCEPTED
FLOW 10 WEIGHTED: 13 -> 11 -> 4 -> 9 | ACCEPTED
FLOW 11 IP: 6 -> 14 -> 12 -> 8 | ACCEPTED
FLOW 11 CSPF: 6 -> 14 -> 12 -> 8 | ACCEPTED
FLOW 11 WEIGHTED: 6 -> 14 -> 12 -> 8 | ACCEPTED
FLOW 12 IP: 3 -> 7 | ACCEPTED
FLOW 12 CSPF: 3 -> 7 | ACCEPTED
FLOW 12 WEIGHTED: 3 -> 7 | ACCEPTED
FLOW 13 IP: 14 -> 6 -> 13 | ACCEPTED
FLOW 13 CSPF: 14 -> 6 -> 13 | ACCEPTED
FLOW 13 WEIGHTED: 14 -> 12 -> 13 | ACCEPTED
FLOW 14 IP: 4 -> 11 -> 0 | ACCEPTED
FLOW 14 CSPF: 4 -> 11 -> 0 | ACCEPTED
FLOW 14 WEIGHTED: 4 -> 11 -> 0 | ACCEPTED
