=== LOG DLA 90 FLOWS ===

===== RUN 0 =====
FLOW 59 WEIGHTED: 11 -> 13 -> 6 | ACCEPTED
FLOW 60 IP: 5 -> 7 -> 14 | ACCEPTED
FLOW 60 CSPF: 5 -> 7 -> 14 | ACCEPTED
FLOW 60 WEIGHTED: 5 -> 7 -> 14 | ACCEPTED
FLOW 61 IP: 14 -> 2 -> 9 | ACCEPTED
FLOW 61 CSPF: 14 -> 2 -> 9 | ACCEPTED
FLOW 61 WEIGHTED: 14 -> 6 -> 4 -> 9 | ACCEPTED
FLOW 62 IP: 10 -> 3 | ACCEPTED
FLOW 62 CSPF: 10 -> 3 | ACCEPTED
FLOW 62 WEIGHTED: 10 -> 3 | ACCEPTED
FLOW 63 IP: 10 -> 3 -> 2 | ACCEPTED
FLOW 63 CSPF: 10 -> 3 -> 2 | ACCEPTED
FLOW 63 WEIGHTED: 10 -> 3 -> 2 | ACCEPTED
FLOW 64 IP: 8 -> 4 | ACCEPTED
FLOW 64 CSPF: 8 -> 4 | ACCEPTED
FLOW 64 WEIGHTED: 8 -> 9 -> 4 | ACCEPTED
FLOW 65 IP: 14 -> 7 | ACCEPTED
FLOW 65 CSPF: 14 -> 7 | ACCEPTED
FLOW 65 WEIGHTED: 14 -> 7 | ACCEPTED
FLOW 66 IP: 7 -> 10 | ACCEPTED
FLOW 66 CSPF: 7 -> 10 | ACCEPTED
FLOW 66 WEIGHTED: 7 -> 10 | ACCEPTED
FLOW 67 IP: 9 -> 4 -> 11 -> 13 | ACCEPTED
FLOW 67 CSPF: 9 -> 4 -> 11 -> 13 | ACCEPTED
FLOW 67 WEIGHTED: 9 -> 4 -> 13 | ACCEPTED
FLOW 68 IP: 4 -> 10 | ACCEPTED
FLOW 68 CSPF: 4 -> 10 | ACCEPTED
FLOW 68 WEIGHTED: 4 -> 10 | ACCEPTED
FLOW 69 IP: 13 -> 6 -> 10 | ACCEPTED
FLOW 69 CSPF: 13 -> 6 -> 10 | ACCEPTED
FLOW 69 WEIGHTED: 13 -> 6 -> 10 | ACCEPTED
FLOW 70 IP: 8 -> 11 | ACCEPTED
FLOW 70 CSPF: 8 -> 11 | ACCEPTED
FLOW 70 WEIGHTED: 8 -> 11 | ACCEPTED
FLOW 71 IP: 11 -> 13 -> 6 -> 1 | ACCEPTED
FLOW 71 CSPF: 11 -> 13 -> 6 -> 1 | ACCEPTED
FLOW 71 WEIGHTED: 11 -> 13 -> 6 -> 1 | ACCEPTED
FLOW 72 IP: 0 -> 2 -> 12 -> 8 | ACCEPTED
FLOW 72 CSPF: 0 -> 2 -> 12 -> 8 | ACCEPTED
FLOW 72 WEIGHTED: 0 -> 2 -> 12 -> 8 | ACCEPTED
FLOW 73 IP: 3 -> 2 -> 12 | ACCEPTED
FLOW 73 CSPF: 3 -> 2 -> 12 | ACCEPTED
FLOW 73 WEIGHTED: 3 -> 12 | ACCEPTED
FLOW 74 IP: 9 -> 4 | ACCEPTED
FLOW 74 CSPF: 9 -> 4 | ACCEPTED
FLOW 74 WEIGHTED: 9 -> 4 | ACCEPTED
FLOW 75 IP: 14 -> 6 -> 10 | ACCEPTED
FLOW 75 CSPF: 14 -> 6 -> 10 | ACCEPTED
FLOW 75 WEIGHTED: 14 -> 6 -> 10 | ACCEPTED
FLOW 76 IP: 11 -> 4 | ACCEPTED
FLOW 76 CSPF: 11 -> 4 | ACCEPTED
FLOW 76 WEIGHTED: 11 -> 4 | ACCEPTED
FLOW 77 IP: 6 -> 13 | ACCEPTED
FLOW 77 CSPF: 6 -> 13 | ACCEPTED
FLOW 77 WEIGHTED: 6 -> 13 | ACCEPTED
