n_flows,run_idx,seed,ip_acceptance,cspf_acceptance,weighted_acceptance,ip_avg_delay,cspf_avg_delay,weighted_avg_delay,ip_avg_util,ip_max_util,cspf_avg_util,cspf_max_util,weighted_avg_util,weighted_max_util,ip_rejected,cspf_rejected,weighted_rejected
60,28,1774954814,0.38333333333333336,0.38333333333333336,0.38333333333333336,11.803779906940388,11.974933323143938,11.516506087955666,0.7757622635060912,1.0,0.800879762475945,0.9887640449438202,0.8072237790488729,0.9587628865979382,37,37,37
60,29,1774954815,0.36666666666666664,0.4,0.38333333333333336,11.552221625848885,10.805828170951886,11.35495542174694,0.7241427816211531,1.0,0.7397497050047576,0.9852941176470589,0.741474807596285,0.9595959595959596,38,36,37
90,0,1774984786,0.28888888888888886,0.2777777777777778,0.26666666666666666,12.222931117561162,10.905997672183581,10.955241429899642,0.8998255663075129,1.0,0.8490600827000848,0.967741935483871,0.8349313542856422,0.967741935483871,64,65,66
90,1,1774984787,0.3,0.2777777777777778,0.25555555555555554,12.140293785673306,10.958689672583237,11.37169170239383,0.839669575537643,1.0,0.7785835906644134,0.9896907216494846,0.7900157091907366,1.0,63,65,67
90,2,1774984788,0.3111111111111111,0.2777777777777778,0.2777777777777778,13.34496621471305,10.28179473685139,10.28179473685139,0.8608282032420213,1.0,0.8094071365929227,1.0,0.8094071365929227,1.0,62,65,65
90,3,1774984789,0.28888888888888886,0.28888888888888886,0.28888888888888886,11.109918291336303,9.495988146323793,9.495988146323793,0.8737701784595119,0.9852941176470589,0.8335161301122226,1.0,0.8335161301122226,1.0,64,64,64
90,4,1774984790,0.26666666666666666,0.2777777777777778,0.28888888888888886,10.04438746036761,12.432156188888865,11.765650827972063,0.8312319387740584,1.0,0.8948166239519165,1.0,0.8601612638792374,0.98989898989899,66,65,64
90,5,1774984791,0.3,0.3,0.3,11.189516485668419,10.366072617351154,10.366072617351154,0.9333216538588462,1.0,0.8991801742701813,1.0,0.8991801742701813,1.0,63,63,63
90,6,1774984792,0.32222222222222224,0.32222222222222224,0.32222222222222224,9.690932707600338,10.350770347859847,10.166597883052795,0.8531637744007023,1.0,0.8910518497852942,1.0,0.8526105710301999,1.0,61,61,61
90,7,1774984793,0.28888888888888886,0.25555555555555554,0.24444444444444444,10.137215413383545,10.034469197482307,9.33606267038731,0.8758176732804617,1.0,0.7686757552935121,1.0,0.7137707614562268,0.9655172413793104,64,67,68
90,8,1774984794,0.37777777777777777,0.32222222222222224,0.32222222222222224,9.612556751360453,9.454874299101485,9.454874299101485,0.8614197612309229,1.0,0.8747561682658811,1.0,0.8747561682658811,1.0,56,61,61
90,9,1774984795,0.25555555555555554,0.25555555555555554,0.26666666666666666,12.407566663466545,11.709313146847318,10.447534412254294,0.8867187023883667,0.9787234042553191,0.8993625327590336,1.0,0.8565216837423848,0.9795918367346939,67,67,66
90,10,1774984796,0.32222222222222224,0.3,0.32222222222222224,11.174121463450184,11.31144863999393,11.403058261777653,0.9038515666771202,1.0,0.878807942501643,0.9587628865979382,0.9252839757375679,1.0,61,63,61
90,11,1774984797,0.26666666666666666,0.24444444444444444,0.26666666666666666,10.727218533457927,10.826430177282031,11.102408407030886,0.8441907694932251,1.0,0.8284270239122928,1.0,0.8470026168212789,1.0,66,68,66
90,12,1774984798,0.3111111111111111,0.28888888888888886,0.26666666666666666,11.65358506070491,10.948466399456821,12.528663798501782,0.8762571007425594,1.0,0.8107847863297754,0.9574468085106383,0.8113948551762049,1.0,62,64,66
90,13,1774984799,0.24444444444444444,0.2777777777777778,0.2777777777777778,12.51838461794128,12.341923596502602,11.72319647367888,0.8071928383662504,0.9830508474576272,0.9007173456041102,1.0,0.8300154698974124,1.0,68,65,65
90,14,1774984800,0.3111111111111111,0.3333333333333333,0.35555555555555557,10.733709144699416,10.580371531081902,11.46414728061226,0.8326197421887627,1.0,0.9179141390693176,1.0,0.9146822257335425,1.0,62,60,58
90,15,1774984801,0.2777777777777778,0.23333333333333334,0.25555555555555554,11.626384973320782,11.481605529596285,11.027812165431424,0.8188121403093856,0.9885057471264368,0.7646941669176512,1.0,0.820547150822554,1.0,65,69,67
90,16,1774984802,0.32222222222222224,0.3111111111111111,0.28888888888888886,9.90854196991417,9.86754287343537,10.394806683002031,0.8410950986228645,0.979381443298969,0.8283790922653279,1.0,0.8400441732652197,1.0,61,62,64
90,17,1774984803,0.25555555555555554,0.25555555555555554,0.2222222222222222,11.043414638814243,10.897850851314665,11.632587439145823,0.877894691059734,0.967741935483871,0.8784666651860527,1.0,0.8470234171054346,0.9857142857142858,67,67,70
